sum [energy] of animals with [species = 2],sum [energy] of animals with [species = 2].1,sum [energy] of animals with [species = 2].2,sum [energy] of animals with [species = 2].3,sum [energy] of animals with [species = 2].4,sum [energy] of animals with [species = 2].5,sum [energy] of animals with [species = 2].6,sum [energy] of animals with [species = 2].7,sum [energy] of animals with [species = 2].8,sum [energy] of animals with [species = 2].9,sum [energy] of animals with [species = 2].10,sum [energy] of animals with [species = 2].11,sum [energy] of animals with [species = 2].12,sum [energy] of animals with [species = 2].13,sum [energy] of animals with [species = 2].14,sum [energy] of animals with [species = 2].15,sum [energy] of animals with [species = 2].16,sum [energy] of animals with [species = 2].17,sum [energy] of animals with [species = 2].18,sum [energy] of animals with [species = 2].19,sum [energy] of animals with [species = 2].20,sum [energy] of animals with [species = 2].21,sum [energy] of animals with [species = 2].22,sum [energy] of animals with [species = 2].23,sum [energy] of animals with [species = 2].24,sum [energy] of animals with [species = 2].25,sum [energy] of animals with [species = 2].26,sum [energy] of animals with [species = 2].27,sum [energy] of animals with [species = 2].28,sum [energy] of animals with [species = 2].29,sum [energy] of animals with [species = 2].30,sum [energy] of animals with [species = 2].31,sum [energy] of animals with [species = 2].32,sum [energy] of animals with [species = 2].33,sum [energy] of animals with [species = 2].34,sum [energy] of animals with [species = 2].35,sum [energy] of animals with [species = 2].36,sum [energy] of animals with [species = 2].37,sum [energy] of animals with [species = 2].38,sum [energy] of animals with [species = 2].39
12324.5,11882.0,11773.0,12174.5,12039.0,11635.5,11911.0,11743.0,11664.5,11714.5,11713.5,11514.5,11781.5,12084.0,11936.5,11781.0,11713.5,12257.0,11403.5,11853.5,11775.5,12261.0,11935.0,12144.0,12145.5,11975.0,11651.5,11892.5,11845.0,12057.5,11848.0,11869.5,11893.5,11584.5,11968.0,11878.5,11692.5,11515.0,12084.5,11678.5
12329.5,11782.5,11674.5,12072.0,12044.5,11536.0,11908.0,11746.0,11574.0,11612.5,11720.5,11514.0,11781.0,12082.0,11937.5,11576.5,11715.5,12162.5,11401.5,11756.5,11781.0,12261.0,11835.0,12134.0,12147.5,11871.0,11651.0,11796.5,11736.0,12054.0,11841.5,11866.5,11797.5,11576.5,11865.0,11880.5,11695.5,11423.5,11993.0,11679.0
12322.5,11781.0,11681.0,12078.0,12045.0,11536.5,11708.0,11656.0,11573.0,11609.5,11711.5,11415.0,11679.5,12087.0,11741.5,11579.5,11524.5,12162.5,11405.5,11750.0,11778.0,12255.0,11734.0,12137.5,12138.5,11771.5,11652.0,11788.0,11539.5,11954.5,11743.0,11774.5,11699.5,11481.0,11656.0,11871.0,11589.0,11428.5,11994.0,11678.0
12319.5,11783.5,11678.5,12081.5,11947.5,11542.0,11611.0,11555.5,11368.5,11501.5,11607.5,11413.0,11579.0,12086.5,11642.5,11586.0,11511.0,12074.5,11403.0,11748.0,11777.0,12259.5,11735.0,12143.5,12145.0,11773.0,11646.5,11786.0,11538.0,11859.5,11642.5,11667.0,11597.5,11286.5,11656.5,11860.5,11482.5,11231.5,11991.0,11582.0
12314.5,11787.5,11675.0,11968.0,11951.0,11443.0,11419.5,11456.5,11272.0,11498.0,11603.5,11309.5,11578.5,11886.0,11641.0,11588.0,11513.0,12068.0,11407.5,11743.5,11769.5,12158.5,11632.0,12042.5,12143.0,11779.0,11644.5,11783.0,11530.5,11758.0,11546.0,11669.5,11590.0,11287.0,11666.5,11862.5,11476.5,11233.5,11999.5,11479.0
12219.0,11586.5,11573.0,11868.0,11948.0,11444.5,11414.5,11463.5,11276.5,11498.0,11609.0,11310.0,11586.0,11886.0,11441.5,11483.5,11515.5,12071.5,11410.0,11450.0,11676.5,12158.5,11634.5,12038.0,12042.0,11772.5,11540.5,11782.0,11531.5,11756.5,11544.0,11666.5,11582.5,11294.0,11667.0,11852.5,11372.0,11228.5,12005.5,11377.5
12220.5,11492.0,11576.0,11865.5,11954.0,11437.5,11412.0,11464.5,11076.0,11499.0,11507.0,11315.0,11478.0,11878.5,11439.0,11487.0,11513.0,12068.5,11306.5,11342.5,11669.0,12164.5,11537.0,11940.5,12034.5,11774.0,11543.0,11788.5,11428.0,11766.5,11441.5,11656.0,11583.0,11291.0,11665.0,11849.5,11377.5,11227.5,12006.5,11380.0
12221.5,11495.0,11572.5,11867.5,11755.5,11442.0,11423.5,11360.5,11076.5,11493.0,11506.5,11219.5,11376.0,11883.0,11436.0,11477.5,11509.0,12066.5,11303.5,11347.5,11663.0,12165.5,11528.0,11929.0,11931.0,11773.5,11440.0,11791.5,11423.5,11664.5,11444.5,11659.5,11588.0,11289.5,11665.5,11844.5,11369.0,11236.5,12007.5,11377.5
12222.5,11487.0,11571.0,11870.5,11754.0,11436.5,11417.5,11366.5,10975.5,11494.0,11510.5,11207.0,11375.5,11885.0,11432.5,11480.5,11507.5,12061.0,11301.5,11347.0,11659.5,12160.5,11529.5,11924.0,11930.5,11770.0,11438.0,11786.5,11422.0,11670.0,11442.0,11661.0,11589.5,11194.5,11666.0,11848.0,11360.5,11233.0,12003.0,11364.5
12226.0,11490.0,11571.0,11870.0,11759.5,11435.0,11423.5,11367.5,10975.5,11497.5,11507.5,11107.5,11378.0,11877.5,11440.5,11386.0,11511.0,12067.5,11196.0,11348.0,11662.5,12164.5,11532.0,11921.5,11926.5,11769.5,11436.5,11784.5,11427.5,11674.5,11435.0,11661.5,11591.5,11193.5,11666.5,11843.0,11361.5,11236.0,12006.0,11365.0
12222.5,11484.5,11570.0,11874.5,11756.5,11345.5,11433.0,11266.0,10875.5,11498.0,11511.0,11110.5,11375.5,11874.5,11446.5,11385.0,11414.0,12066.5,11195.0,11346.5,11660.0,12159.5,11530.0,11923.0,11925.0,11772.5,11437.0,11679.0,11419.5,11671.0,11336.5,11663.5,11601.5,11193.0,11571.0,11840.0,11365.0,11238.5,12001.5,11365.5
12216.5,11476.0,11566.5,11873.5,11756.5,11343.5,11444.5,11270.5,10874.5,11492.5,11509.0,11107.0,11379.0,11876.5,11454.0,11393.0,11405.5,12063.0,11093.5,11345.5,11661.5,12164.5,11524.0,11923.5,11829.0,11768.5,11434.5,11677.5,11415.5,11670.0,11341.0,11661.0,11598.5,11196.0,11558.5,11733.5,11359.5,11235.0,12003.0,11368.0
12225.0,11483.0,11564.0,11872.0,11757.0,11343.5,11447.0,11261.5,10869.0,11495.5,11504.0,11105.0,11382.5,11873.5,11456.5,11397.0,11394.5,11960.5,11089.0,11341.0,11657.0,12164.5,11529.5,11826.0,11816.0,11764.5,11331.0,11666.0,11412.0,11665.5,11330.0,11654.5,11601.0,11205.5,11453.0,11735.5,11353.5,11231.5,12005.5,11364.5
12220.5,11478.0,11570.5,11875.5,11755.0,11344.5,11452.5,11264.0,10763.0,11494.5,11507.0,11102.5,11380.0,11880.0,11457.5,11394.0,11397.5,11959.5,11097.5,11345.0,11653.0,12164.5,11524.5,11823.0,11819.5,11770.0,11333.0,11666.0,11408.5,11671.0,11329.5,11648.5,11602.0,11100.0,11352.5,11624.5,11354.5,11239.0,12000.0,11362.5
12023.0,11477.5,11572.5,11878.0,11761.5,11344.0,11453.5,11264.5,10760.0,11488.5,11507.5,11108.5,11182.0,11872.5,11451.5,11397.5,11404.0,11958.0,11103.0,11339.5,11650.5,12159.0,11423.5,11824.0,11807.0,11763.5,11337.5,11664.0,11412.0,11669.0,11329.5,11636.0,11604.5,11098.0,11351.5,11619.0,11362.5,11240.5,11993.0,11366.0
12031.0,11377.5,11569.5,11884.0,11758.5,11344.0,11450.5,11259.0,10760.5,11398.0,11510.5,11109.5,11183.5,11869.5,11456.5,11398.5,11391.5,11963.5,11102.5,11340.0,11654.5,12159.0,11420.5,11823.0,11811.0,11671.0,11330.5,11664.0,11316.5,11672.5,11316.5,11641.0,11602.5,11099.0,11344.5,11613.5,11361.0,11238.0,11990.5,11368.0
12029.5,11381.0,11568.0,11881.5,11760.5,11350.5,11458.0,11263.0,10769.5,11400.0,11508.5,11004.0,11179.5,11875.5,11455.0,11403.0,11398.0,11955.5,11106.5,11337.0,11650.0,12161.0,11320.0,11711.5,11808.0,11669.5,11327.5,11657.5,11323.0,11663.0,11315.5,11645.0,11599.0,11101.0,11353.0,11614.5,11352.0,11232.0,11883.0,11355.5
12034.0,11376.5,11571.0,11890.0,11768.0,11346.5,11453.0,11262.5,10666.0,11402.5,11511.5,10998.0,11185.5,11878.5,11456.5,11398.5,11402.5,11949.0,11108.5,11233.0,11656.5,12157.0,11313.0,11711.5,11815.0,11669.0,11325.0,11660.0,11317.5,11656.0,11323.5,11643.5,11603.0,11099.0,11352.0,11610.0,11357.0,11237.0,11879.0,11363.0
12029.0,11376.0,11567.0,11890.5,11766.0,11350.0,11455.5,11268.0,10665.0,11395.5,11517.0,11003.0,11195.0,11878.0,11451.0,11401.0,11398.0,11953.0,11013.5,11238.5,11656.5,12154.0,11311.0,11715.0,11813.5,11669.0,11323.5,11656.0,11217.5,11664.0,11225.5,11642.0,11605.0,11104.0,11351.5,11611.0,11361.0,11235.5,11879.5,11355.0
11928.5,11374.5,11565.0,11894.5,11762.5,11345.5,11461.0,11272.5,10662.5,11395.0,11517.0,11004.5,11193.0,11775.0,11452.0,11398.5,11391.0,11956.0,11009.0,11234.5,11655.5,12151.0,11307.0,11708.5,11819.5,11672.5,11321.0,11650.0,11218.0,11663.0,11225.0,11636.0,11609.0,10904.5,11348.5,11509.5,11354.5,11034.0,11878.0,11358.5
11935.5,11373.0,11465.0,11798.0,11767.0,11343.0,11457.5,11274.5,10576.5,11394.0,11519.5,11008.0,11195.5,11774.5,11447.0,11399.5,11396.0,11948.5,11004.0,11230.0,11653.0,12148.5,11307.0,11709.5,11713.0,11676.5,11322.5,11652.0,11222.5,11659.5,11210.5,11630.5,11614.0,10906.0,11346.0,11403.5,11344.0,11037.0,11882.0,11352.0
11943.5,11377.0,11466.0,11802.0,11765.0,11348.0,11462.5,11271.5,10582.5,11296.5,11519.0,11010.5,11202.5,11779.0,11447.5,11399.5,11297.5,11951.0,11014.0,11230.5,11658.0,12154.0,11305.5,11710.5,11719.0,11678.0,11317.0,11657.5,11225.5,11560.5,11207.0,11633.0,11611.5,10903.5,11353.0,11401.5,11342.5,11034.0,11782.5,11349.0
11742.5,11385.0,11467.0,11801.5,11762.0,11249.0,11471.5,11269.0,10492.0,11297.0,11520.0,11003.0,11194.5,11776.0,11451.5,11406.5,11299.5,11847.5,11012.5,11234.0,11657.5,12142.0,11300.5,11716.0,11717.0,11676.0,11319.0,11653.0,11129.0,11559.5,11205.5,11626.5,11616.0,10806.0,11351.5,11401.0,11348.0,11038.5,11781.5,11346.5
11737.5,11384.5,11468.5,11803.5,11764.5,11243.0,11375.0,11267.5,10480.0,11300.0,11527.5,11006.0,11194.5,11781.0,11453.0,11407.0,11294.5,11842.0,11004.0,11236.5,11657.5,12137.5,11307.0,11711.5,11714.0,11685.5,11316.0,11657.5,11132.5,11561.0,11198.5,11625.0,11613.0,10809.0,11358.5,11392.5,11335.0,11039.5,11778.0,11355.5
11744.0,11388.5,11469.0,11798.5,11665.0,11242.0,11375.5,11273.0,10473.5,11198.0,11527.5,10896.5,11192.0,11681.0,11454.5,11413.0,11194.5,11837.5,11013.0,11138.0,11649.0,12137.5,11306.0,11714.5,11716.5,11683.5,11314.5,11656.5,11132.0,11557.0,11194.0,11633.0,11614.0,10814.5,11356.5,11289.5,11324.0,10937.5,11772.5,11354.0
11742.5,11298.0,11469.5,11707.5,11670.5,11241.0,11279.0,11267.0,10475.0,11000.0,11531.5,10888.5,11191.5,11685.5,11454.0,11418.0,11198.5,11835.0,11013.0,11142.5,11656.5,12135.0,11307.0,11717.5,11718.5,11679.0,11315.0,11664.0,11127.5,11552.5,11202.0,11630.0,11616.5,10813.5,11352.5,11287.0,11327.0,10739.0,11765.5,11347.5
11743.5,11302.5,11465.5,11616.0,11670.5,11238.5,11177.0,11275.0,10470.5,11001.5,11332.0,10896.5,11190.0,11584.0,11459.0,11420.5,11198.5,11837.5,11021.5,11146.5,11654.0,12133.0,11304.0,11718.5,11714.0,11682.5,11310.5,11666.5,11125.0,11555.0,11200.5,11624.0,11611.0,10814.0,11357.0,11292.5,11317.0,10740.5,11762.0,11352.5
11638.0,11097.0,11465.0,11513.0,11671.5,11234.0,11077.0,11274.5,10470.0,11000.0,11127.5,10896.5,11086.0,11584.5,11464.5,11322.0,11096.5,11736.0,11028.0,11048.0,11653.0,12133.5,11302.0,11623.5,11618.0,11583.0,11224.5,11665.5,11129.5,11447.0,11102.5,11517.5,11519.5,10814.5,11257.0,11286.5,11309.0,10652.5,11651.5,11256.0
11438.5,11103.5,11464.5,11504.0,11671.5,11239.5,11083.5,11272.5,10471.5,10906.5,11129.5,10890.0,11084.0,11581.0,11457.5,11324.0,10999.5,11732.5,11013.5,11047.0,11554.5,12127.5,11199.5,11627.5,11616.0,11580.0,10938.5,11675.0,11035.5,11447.0,11105.5,11519.5,11521.0,10816.5,11162.5,11187.0,11306.5,10649.5,11651.0,11251.0
11441.0,11099.5,11470.5,11507.0,11673.5,11243.5,10988.0,11275.5,10267.5,10908.5,11031.5,10890.5,11085.5,11485.5,11370.0,11222.0,11005.0,11534.0,10918.5,11046.0,11556.5,12127.5,10995.0,11634.5,11619.0,11491.5,10938.0,11468.5,11037.0,11353.5,11009.5,11515.0,11521.0,10715.5,11168.0,11187.5,11304.0,10650.5,11653.0,11253.5
11337.5,11092.0,11471.5,11514.0,11676.5,11250.5,10882.0,11174.5,10273.5,10905.5,11033.0,10887.5,10993.0,11282.5,11372.5,11125.5,10901.5,11533.0,10922.0,11047.0,11453.0,12131.0,10991.5,11637.5,11612.0,11496.0,10740.0,11376.0,10940.0,11356.0,11016.0,11420.0,11528.0,10610.5,11172.0,11191.0,11300.5,10548.5,11653.5,11250.0
11336.5,11004.5,11466.0,11412.5,11577.0,11149.0,10887.5,11186.0,10274.0,10907.5,10930.5,10886.0,10895.0,11285.5,11176.5,11121.0,10902.5,11425.5,10824.5,10942.0,11446.5,12136.0,10991.5,11641.0,11619.5,11498.0,10735.5,11382.0,10836.0,11255.0,10918.5,11417.0,11522.0,10513.0,11066.0,10891.0,11192.5,10544.0,11658.5,11250.0
11237.5,11005.5,11365.0,11417.5,11577.5,11143.0,10786.5,10996.0,10264.0,10807.5,10928.5,10681.0,10895.5,11286.0,11174.5,11125.5,10899.0,11320.5,10728.0,10941.0,11445.0,12124.0,10909.0,11638.0,11614.0,11499.5,10731.0,11377.0,10737.5,11054.0,10918.5,11417.0,11528.0,10418.0,10974.5,10885.5,11089.0,10446.0,11661.0,11249.0
11242.5,11004.0,11369.5,11420.5,11576.5,11140.5,10787.0,10896.5,10065.5,10807.5,10931.0,10678.5,10891.5,11190.0,11069.0,11127.0,10906.0,11326.0,10732.5,10843.5,11451.0,12132.0,10910.0,11540.0,11611.5,11300.5,10733.5,11380.0,10739.0,11056.5,10911.0,11421.0,11526.0,10414.5,10976.0,10888.5,10987.0,10441.5,11661.0,11253.0
