Case study,Reference family,Summary,LLM,Role,Example,Insight,Evidence,Repetition,Output,BLEU,METEOR,ROUGE-1,ROUGE-2,ROUGE-L,Flesch Reading Ease
milk_consumption,gpt5.2_short,bart,moonshotai/kimi-k2.5,No,No,No,plot,1,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/01_milk_consumption_none_plot_rep1/02_summaries/bart.txt,0.014370,0.121442,0.343534,0.122651,0.173741,30.400897
milk_consumption,gpt5.2_short,bert,moonshotai/kimi-k2.5,No,No,No,plot,1,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/01_milk_consumption_none_plot_rep1/02_summaries/bert.txt,0.034514,0.273943,0.495818,0.142344,0.179211,-1.715341
milk_consumption,gpt5.2_short,longformer_ext,moonshotai/kimi-k2.5,No,No,No,plot,1,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/01_milk_consumption_none_plot_rep1/02_summaries/longformer_ext.txt,0.000451,0.062311,0.193757,0.032362,0.111948,23.105000
milk_consumption,gpt5.2_short,none,moonshotai/kimi-k2.5,No,No,No,plot,1,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/01_milk_consumption_none_plot_rep1/02_summaries/none.txt,0.028599,0.315752,0.348605,0.154900,0.175882,23.761073
milk_consumption,gpt5.2_short,t5,moonshotai/kimi-k2.5,No,No,No,plot,1,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/01_milk_consumption_none_plot_rep1/02_summaries/t5.txt,0.005121,0.090133,0.270103,0.072314,0.134021,34.600613
fauna,gpt5.2_short,bart,moonshotai/kimi-k2.5,No,No,No,table,1,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/02_fauna_none_table_rep1/02_summaries/bart.txt,0.029740,0.206700,0.473186,0.092729,0.168244,9.805321
fauna,gpt5.2_short,bert,moonshotai/kimi-k2.5,No,No,No,table,1,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/02_fauna_none_table_rep1/02_summaries/bert.txt,0.010267,0.275245,0.352127,0.082178,0.118694,-1.205506
fauna,gpt5.2_short,longformer_ext,moonshotai/kimi-k2.5,No,No,No,table,1,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/02_fauna_none_table_rep1/02_summaries/longformer_ext.txt,0.006610,0.130295,0.287837,0.026047,0.096565,23.779147
fauna,gpt5.2_short,none,moonshotai/kimi-k2.5,No,No,No,table,1,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/02_fauna_none_table_rep1/02_summaries/none.txt,0.008808,0.215541,0.150475,0.047644,0.068335,17.069447
fauna,gpt5.2_short,t5,moonshotai/kimi-k2.5,No,No,No,table,1,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/02_fauna_none_table_rep1/02_summaries/t5.txt,0.040677,0.192129,0.408580,0.073695,0.159346,14.367826
grazing,gpt5.2_short,bart,moonshotai/kimi-k2.5,No,No,No,table,1,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/02_grazing_none_table_rep1/02_summaries/bart.txt,0.008519,0.137199,0.379237,0.067941,0.144068,4.450431
grazing,gpt5.2_short,bert,moonshotai/kimi-k2.5,No,No,No,table,1,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/02_grazing_none_table_rep1/02_summaries/bert.txt,0.013006,0.255040,0.477612,0.090909,0.160448,4.303005
grazing,gpt5.2_short,longformer_ext,moonshotai/kimi-k2.5,No,No,No,table,1,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/02_grazing_none_table_rep1/02_summaries/longformer_ext.txt,0.015209,0.186239,0.450308,0.091630,0.144239,6.108243
grazing,gpt5.2_short,none,moonshotai/kimi-k2.5,No,No,No,table,1,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/02_grazing_none_table_rep1/02_summaries/none.txt,0.007996,0.266959,0.269240,0.078254,0.111807,18.777333
grazing,gpt5.2_short,t5,moonshotai/kimi-k2.5,No,No,No,table,1,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/02_grazing_none_table_rep1/02_summaries/t5.txt,0.005120,0.130669,0.373166,0.063025,0.153040,15.084570
milk_consumption,gpt5.2_short,bart,moonshotai/kimi-k2.5,No,No,No,table,1,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/02_milk_consumption_none_table_rep1/02_summaries/bart.txt,0.019914,0.152040,0.377393,0.094977,0.171376,14.958512
milk_consumption,gpt5.2_short,bert,moonshotai/kimi-k2.5,No,No,No,table,1,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/02_milk_consumption_none_table_rep1/02_summaries/bert.txt,0.025308,0.258787,0.451200,0.108916,0.178133,-4.042394
milk_consumption,gpt5.2_short,longformer_ext,moonshotai/kimi-k2.5,No,No,No,table,1,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/02_milk_consumption_none_table_rep1/02_summaries/longformer_ext.txt,0.010381,0.152654,0.384420,0.066158,0.145639,6.973336
milk_consumption,gpt5.2_short,none,moonshotai/kimi-k2.5,No,No,No,table,1,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/02_milk_consumption_none_table_rep1/02_summaries/none.txt,0.017142,0.276833,0.282675,0.115117,0.140686,21.954657
milk_consumption,gpt5.2_short,t5,moonshotai/kimi-k2.5,No,No,No,table,1,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/02_milk_consumption_none_table_rep1/02_summaries/t5.txt,0.004868,0.119048,0.323251,0.070076,0.137996,8.282263
fauna,gpt5.2_short,bart,moonshotai/kimi-k2.5,No,No,No,plot+table,1,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/03_fauna_none_plot_plus_table_rep1/02_summaries/bart.txt,0.029837,0.194794,0.445405,0.086674,0.181622,13.593698
fauna,gpt5.2_short,bert,moonshotai/kimi-k2.5,No,No,No,plot+table,1,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/03_fauna_none_plot_plus_table_rep1/02_summaries/bert.txt,0.010720,0.289736,0.386423,0.074229,0.131593,6.698876
fauna,gpt5.2_short,longformer_ext,moonshotai/kimi-k2.5,No,No,No,plot+table,1,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/03_fauna_none_plot_plus_table_rep1/02_summaries/longformer_ext.txt,0.008090,0.172841,0.340611,0.054243,0.122271,19.463437
fauna,gpt5.2_short,none,moonshotai/kimi-k2.5,No,No,No,plot+table,1,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/03_fauna_none_plot_plus_table_rep1/02_summaries/none.txt,0.009257,0.220970,0.166419,0.052397,0.077266,27.901869
fauna,gpt5.2_short,t5,moonshotai/kimi-k2.5,No,No,No,plot+table,1,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/03_fauna_none_plot_plus_table_rep1/02_summaries/t5.txt,0.033768,0.189239,0.392114,0.065862,0.170865,35.429825
grazing,gpt5.2_short,bart,moonshotai/kimi-k2.5,No,No,No,plot+table,1,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/03_grazing_none_plot_plus_table_rep1/02_summaries/bart.txt,0.011770,0.166800,0.434018,0.072478,0.142717,11.266604
grazing,gpt5.2_short,bert,moonshotai/kimi-k2.5,No,No,No,plot+table,1,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/03_grazing_none_plot_plus_table_rep1/02_summaries/bert.txt,0.017696,0.266530,0.459977,0.093679,0.148816,0.669371
grazing,gpt5.2_short,longformer_ext,moonshotai/kimi-k2.5,No,No,No,plot+table,1,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/03_grazing_none_plot_plus_table_rep1/02_summaries/longformer_ext.txt,0.019586,0.197381,0.439873,0.076070,0.145570,7.772865
grazing,gpt5.2_short,none,moonshotai/kimi-k2.5,No,No,No,plot+table,1,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/03_grazing_none_plot_plus_table_rep1/02_summaries/none.txt,0.010071,0.263684,0.235542,0.068588,0.098423,18.834193
grazing,gpt5.2_short,t5,moonshotai/kimi-k2.5,No,No,No,plot+table,1,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/03_grazing_none_plot_plus_table_rep1/02_summaries/t5.txt,0.006225,0.150282,0.410678,0.072016,0.145791,19.134613
milk_consumption,gpt5.2_short,bart,moonshotai/kimi-k2.5,No,No,No,plot+table,1,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/03_milk_consumption_none_plot_plus_table_rep1/02_summaries/bart.txt,0.023501,0.181479,0.451613,0.110544,0.191851,25.706744
milk_consumption,gpt5.2_short,bert,moonshotai/kimi-k2.5,No,No,No,plot+table,1,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/03_milk_consumption_none_plot_plus_table_rep1/02_summaries/bert.txt,0.025555,0.280267,0.454503,0.121756,0.174446,6.205249
milk_consumption,gpt5.2_short,longformer_ext,moonshotai/kimi-k2.5,No,No,No,plot+table,1,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/03_milk_consumption_none_plot_plus_table_rep1/02_summaries/longformer_ext.txt,0.015938,0.181650,0.409899,0.096050,0.156226,24.076772
milk_consumption,gpt5.2_short,none,moonshotai/kimi-k2.5,No,No,No,plot+table,1,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/03_milk_consumption_none_plot_plus_table_rep1/02_summaries/none.txt,0.018647,0.262603,0.245713,0.108577,0.130017,28.035335
milk_consumption,gpt5.2_short,t5,moonshotai/kimi-k2.5,No,No,No,plot+table,1,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/03_milk_consumption_none_plot_plus_table_rep1/02_summaries/t5.txt,0.014340,0.122780,0.346692,0.085901,0.156570,31.131225
fauna,gpt5.2_short,bart,moonshotai/kimi-k2.5,Yes,No,No,plot,1,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/04_fauna_role_plot_rep1/02_summaries/bart.txt,0.039866,0.216434,0.461704,0.101622,0.174757,11.482778
fauna,gpt5.2_short,bert,moonshotai/kimi-k2.5,Yes,No,No,plot,1,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/04_fauna_role_plot_rep1/02_summaries/bert.txt,0.011157,0.284976,0.364537,0.077343,0.137692,0.832293
fauna,gpt5.2_short,longformer_ext,moonshotai/kimi-k2.5,Yes,No,No,plot,1,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/04_fauna_role_plot_rep1/02_summaries/longformer_ext.txt,0.029199,0.194966,0.410208,0.064394,0.147448,14.476476
fauna,gpt5.2_short,none,moonshotai/kimi-k2.5,Yes,No,No,plot,1,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/04_fauna_role_plot_rep1/02_summaries/none.txt,0.009765,0.222174,0.157000,0.052235,0.076397,10.689378
fauna,gpt5.2_short,t5,moonshotai/kimi-k2.5,Yes,No,No,plot,1,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/04_fauna_role_plot_rep1/02_summaries/t5.txt,0.005204,0.145455,0.400000,0.045894,0.139759,17.809810
grazing,gpt5.2_short,bart,moonshotai/kimi-k2.5,Yes,No,No,plot,1,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/04_grazing_role_plot_rep1/02_summaries/bart.txt,0.008093,0.155680,0.394763,0.066599,0.136959,18.906579
grazing,gpt5.2_short,bert,moonshotai/kimi-k2.5,Yes,No,No,plot,1,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/04_grazing_role_plot_rep1/02_summaries/bert.txt,0.009609,0.262682,0.485779,0.085421,0.144482,8.723529
grazing,gpt5.2_short,longformer_ext,moonshotai/kimi-k2.5,Yes,No,No,plot,1,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/04_grazing_role_plot_rep1/02_summaries/longformer_ext.txt,0.010778,0.163207,0.384952,0.073620,0.134733,3.994149
grazing,gpt5.2_short,none,moonshotai/kimi-k2.5,Yes,No,No,plot,1,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/04_grazing_role_plot_rep1/02_summaries/none.txt,0.007252,0.266333,0.249785,0.078145,0.100429,19.087140
grazing,gpt5.2_short,t5,moonshotai/kimi-k2.5,Yes,No,No,plot,1,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/04_grazing_role_plot_rep1/02_summaries/t5.txt,0.006301,0.146032,0.403242,0.058883,0.127660,24.087808
milk_consumption,gpt5.2_short,bart,moonshotai/kimi-k2.5,Yes,No,No,plot,1,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/04_milk_consumption_role_plot_rep1/02_summaries/bart.txt,0.015312,0.134122,0.341690,0.096744,0.159703,26.285129
milk_consumption,gpt5.2_short,bert,moonshotai/kimi-k2.5,Yes,No,No,plot,1,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/04_milk_consumption_role_plot_rep1/02_summaries/bert.txt,0.044615,0.290243,0.489685,0.129348,0.169381,1.838760
milk_consumption,gpt5.2_short,longformer_ext,moonshotai/kimi-k2.5,Yes,No,No,plot,1,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/04_milk_consumption_role_plot_rep1/02_summaries/longformer_ext.txt,0.019455,0.168439,0.388109,0.084367,0.146986,28.465835
milk_consumption,gpt5.2_short,none,moonshotai/kimi-k2.5,Yes,No,No,plot,1,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/04_milk_consumption_role_plot_rep1/02_summaries/none.txt,0.025978,0.296989,0.297151,0.128507,0.142922,26.447216
milk_consumption,gpt5.2_short,t5,moonshotai/kimi-k2.5,Yes,No,No,plot,1,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/04_milk_consumption_role_plot_rep1/02_summaries/t5.txt,0.008278,0.117859,0.319066,0.076023,0.147860,32.625019
fauna,gpt5.2_short,bart,moonshotai/kimi-k2.5,Yes,No,No,table,1,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/05_fauna_role_table_rep1/02_summaries/bart.txt,0.037267,0.215355,0.447876,0.071567,0.166023,7.237159
fauna,gpt5.2_short,bert,moonshotai/kimi-k2.5,Yes,No,No,table,1,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/05_fauna_role_table_rep1/02_summaries/bert.txt,0.008217,0.260412,0.327704,0.068524,0.122319,-0.293034
fauna,gpt5.2_short,longformer_ext,moonshotai/kimi-k2.5,Yes,No,No,table,1,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/05_fauna_role_table_rep1/02_summaries/longformer_ext.txt,0.024527,0.211335,0.371711,0.056013,0.139803,25.440394
fauna,gpt5.2_short,none,moonshotai/kimi-k2.5,Yes,No,No,table,1,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/05_fauna_role_table_rep1/02_summaries/none.txt,0.007197,0.203209,0.141142,0.044142,0.067813,13.249635
fauna,gpt5.2_short,t5,moonshotai/kimi-k2.5,Yes,No,No,table,1,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/05_fauna_role_table_rep1/02_summaries/t5.txt,0.011102,0.175109,0.384774,0.043299,0.131687,13.847575
grazing,gpt5.2_short,bart,moonshotai/kimi-k2.5,Yes,No,No,table,1,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/05_grazing_role_table_rep1/02_summaries/bart.txt,0.005269,0.134063,0.340788,0.059765,0.121406,13.990192
grazing,gpt5.2_short,bert,moonshotai/kimi-k2.5,Yes,No,No,table,1,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/05_grazing_role_table_rep1/02_summaries/bert.txt,0.009153,0.249301,0.442857,0.073897,0.134524,5.966163
grazing,gpt5.2_short,longformer_ext,moonshotai/kimi-k2.5,Yes,No,No,table,1,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/05_grazing_role_table_rep1/02_summaries/longformer_ext.txt,0.001756,0.030095,0.080564,0.004036,0.032226,-107.755764
grazing,gpt5.2_short,none,moonshotai/kimi-k2.5,Yes,No,No,table,1,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/05_grazing_role_table_rep1/02_summaries/none.txt,0.006278,0.258782,0.256123,0.063477,0.095171,15.620085
grazing,gpt5.2_short,t5,moonshotai/kimi-k2.5,Yes,No,No,table,1,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/05_grazing_role_table_rep1/02_summaries/t5.txt,0.004946,0.112692,0.298475,0.039301,0.117647,15.747914
milk_consumption,gpt5.2_short,bart,moonshotai/kimi-k2.5,Yes,No,No,table,1,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/05_milk_consumption_role_table_rep1/02_summaries/bart.txt,0.019090,0.196406,0.427914,0.113671,0.151840,17.887532
milk_consumption,gpt5.2_short,bert,moonshotai/kimi-k2.5,Yes,No,No,table,1,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/05_milk_consumption_role_table_rep1/02_summaries/bert.txt,0.016221,0.265294,0.391393,0.091020,0.137231,0.868906
milk_consumption,gpt5.2_short,longformer_ext,moonshotai/kimi-k2.5,Yes,No,No,table,1,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/05_milk_consumption_role_table_rep1/02_summaries/longformer_ext.txt,0.023991,0.163060,0.421136,0.082148,0.141956,14.982906
milk_consumption,gpt5.2_short,none,moonshotai/kimi-k2.5,Yes,No,No,table,1,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/05_milk_consumption_role_table_rep1/02_summaries/none.txt,0.009578,0.230168,0.198427,0.076248,0.096491,17.348154
milk_consumption,gpt5.2_short,t5,moonshotai/kimi-k2.5,Yes,No,No,table,1,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/05_milk_consumption_role_table_rep1/02_summaries/t5.txt,0.014295,0.149285,0.366834,0.058725,0.134003,14.743660
fauna,gpt5.2_short,bart,moonshotai/kimi-k2.5,Yes,No,No,plot+table,1,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/06_fauna_role_plot_plus_table_rep1/02_summaries/bart.txt,0.037693,0.214775,0.426386,0.072797,0.164436,33.191625
fauna,gpt5.2_short,bert,moonshotai/kimi-k2.5,Yes,No,No,plot+table,1,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/06_fauna_role_plot_plus_table_rep1/02_summaries/bert.txt,0.008923,0.268915,0.329730,0.068530,0.126126,10.574225
fauna,gpt5.2_short,longformer_ext,moonshotai/kimi-k2.5,Yes,No,No,plot+table,1,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/06_fauna_role_plot_plus_table_rep1/02_summaries/longformer_ext.txt,0.030462,0.178438,0.368569,0.058107,0.142189,23.037206
fauna,gpt5.2_short,none,moonshotai/kimi-k2.5,Yes,No,No,plot+table,1,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/06_fauna_role_plot_plus_table_rep1/02_summaries/none.txt,0.007936,0.201759,0.142634,0.045582,0.067416,19.480334
fauna,gpt5.2_short,t5,moonshotai/kimi-k2.5,Yes,No,No,plot+table,1,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/06_fauna_role_plot_plus_table_rep1/02_summaries/t5.txt,0.017874,0.184783,0.415695,0.065887,0.148462,30.405826
grazing,gpt5.2_short,bart,moonshotai/kimi-k2.5,Yes,No,No,plot+table,1,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/06_grazing_role_plot_plus_table_rep1/02_summaries/bart.txt,0.004886,0.132503,0.342612,0.053648,0.124197,26.717599
grazing,gpt5.2_short,bert,moonshotai/kimi-k2.5,Yes,No,No,plot+table,1,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/06_grazing_role_plot_plus_table_rep1/02_summaries/bert.txt,0.010155,0.264923,0.458570,0.075000,0.143019,1.758461
grazing,gpt5.2_short,longformer_ext,moonshotai/kimi-k2.5,Yes,No,No,plot+table,1,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/06_grazing_role_plot_plus_table_rep1/02_summaries/longformer_ext.txt,0.003402,0.087897,0.184426,0.020534,0.086066,-48.104620
grazing,gpt5.2_short,none,moonshotai/kimi-k2.5,Yes,No,No,plot+table,1,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/06_grazing_role_plot_plus_table_rep1/02_summaries/none.txt,0.005901,0.251975,0.242922,0.066595,0.095526,19.326382
grazing,gpt5.2_short,t5,moonshotai/kimi-k2.5,Yes,No,No,plot+table,1,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/06_grazing_role_plot_plus_table_rep1/02_summaries/t5.txt,0.004965,0.111727,0.310870,0.041394,0.108696,21.583951
milk_consumption,gpt5.2_short,bart,moonshotai/kimi-k2.5,Yes,No,No,plot+table,1,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/06_milk_consumption_role_plot_plus_table_rep1/02_summaries/bart.txt,0.021699,0.162805,0.411277,0.094684,0.155887,32.478311
milk_consumption,gpt5.2_short,bert,moonshotai/kimi-k2.5,Yes,No,No,plot+table,1,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/06_milk_consumption_role_plot_plus_table_rep1/02_summaries/bert.txt,0.022727,0.275379,0.445672,0.115207,0.144567,8.411433
milk_consumption,gpt5.2_short,longformer_ext,moonshotai/kimi-k2.5,Yes,No,No,plot+table,1,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/06_milk_consumption_role_plot_plus_table_rep1/02_summaries/longformer_ext.txt,0.023996,0.179307,0.445277,0.085586,0.164918,32.667325
