Case study,Summary,LLM,Role,Example,Insight,Evidence,Repetition,Output,BLEU,METEOR,ROUGE-1,ROUGE-2,ROUGE-L,Flesch Reading Ease
milk_consumption,bart,mistral-medium-latest,No,No,Yes,table,1,results/mistral_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260310_060012_222836/bundles/08_milk_consumption_insights_table_rep1/02_summaries/bart.txt,0.032165,0.150573,0.335556,0.102450,0.175556,34.942432
milk_consumption,bert,mistral-medium-latest,No,No,Yes,table,1,results/mistral_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260310_060012_222836/bundles/08_milk_consumption_insights_table_rep1/02_summaries/bert.txt,0.010220,0.145478,0.359957,0.081110,0.155485,42.757018
milk_consumption,t5,mistral-medium-latest,No,No,Yes,table,1,results/mistral_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260310_060012_222836/bundles/08_milk_consumption_insights_table_rep1/02_summaries/t5.txt,0.006173,0.095479,0.246973,0.058252,0.108959,39.180227
milk_consumption,longformer_ext,mistral-medium-latest,No,No,Yes,table,1,results/mistral_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260310_060012_222836/bundles/08_milk_consumption_insights_table_rep1/02_summaries/longformer_ext.txt,0.005583,0.104626,0.260181,0.045351,0.117647,29.852058
milk_consumption,none,mistral-medium-latest,No,No,Yes,plot+table,1,results/mistral_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260310_060012_222836/bundles/09_milk_consumption_insights_plot_plus_table_rep1/02_summaries/none.txt,0.031842,0.281933,0.304647,0.144661,0.161216,42.277230
milk_consumption,bart,mistral-medium-latest,No,No,Yes,plot+table,1,results/mistral_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260310_060012_222836/bundles/09_milk_consumption_insights_plot_plus_table_rep1/02_summaries/bart.txt,0.032084,0.143483,0.350679,0.113379,0.199095,42.850351
milk_consumption,bert,mistral-medium-latest,No,No,Yes,plot+table,1,results/mistral_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260310_060012_222836/bundles/09_milk_consumption_insights_plot_plus_table_rep1/02_summaries/bert.txt,0.011405,0.125777,0.301430,0.079383,0.151815,42.203383
milk_consumption,t5,mistral-medium-latest,No,No,Yes,plot+table,1,results/mistral_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260310_060012_222836/bundles/09_milk_consumption_insights_plot_plus_table_rep1/02_summaries/t5.txt,0.007238,0.114569,0.278114,0.065455,0.135429,49.765000
milk_consumption,longformer_ext,mistral-medium-latest,No,No,Yes,plot+table,1,results/mistral_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260310_060012_222836/bundles/09_milk_consumption_insights_plot_plus_table_rep1/02_summaries/longformer_ext.txt,0.039139,0.137496,0.374020,0.127946,0.170213,55.519522
milk_consumption,none,mistral-medium-latest,No,Yes,No,plot,1,results/mistral_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260310_060012_222836/bundles/10_milk_consumption_example_plot_rep1/02_summaries/none.txt,0.040442,0.294869,0.345825,0.171711,0.186719,39.685559
milk_consumption,bart,mistral-medium-latest,No,Yes,No,plot,1,results/mistral_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260310_060012_222836/bundles/10_milk_consumption_example_plot_rep1/02_summaries/bart.txt,0.030442,0.145251,0.358382,0.122827,0.178035,46.390000
milk_consumption,bert,mistral-medium-latest,No,Yes,No,plot,1,results/mistral_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260310_060012_222836/bundles/10_milk_consumption_example_plot_rep1/02_summaries/bert.txt,0.016861,0.127839,0.356413,0.091013,0.165721,36.864699
milk_consumption,t5,mistral-medium-latest,No,Yes,No,plot,1,results/mistral_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260310_060012_222836/bundles/10_milk_consumption_example_plot_rep1/02_summaries/t5.txt,0.003267,0.086320,0.252276,0.075619,0.135241,57.236667
milk_consumption,longformer_ext,mistral-medium-latest,No,Yes,No,plot,1,results/mistral_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260310_060012_222836/bundles/10_milk_consumption_example_plot_rep1/02_summaries/longformer_ext.txt,0.025568,0.162708,0.342541,0.094096,0.163904,37.248733
milk_consumption,none,mistral-medium-latest,No,Yes,No,table,1,results/mistral_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260310_060012_222836/bundles/11_milk_consumption_example_table_rep1/02_summaries/none.txt,0.024921,0.268809,0.323822,0.133462,0.165438,38.754519
milk_consumption,bart,mistral-medium-latest,No,Yes,No,table,1,results/mistral_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260310_060012_222836/bundles/11_milk_consumption_example_table_rep1/02_summaries/bart.txt,0.022823,0.136571,0.307692,0.104389,0.175148,43.720974
milk_consumption,bert,mistral-medium-latest,No,Yes,No,table,1,results/mistral_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260310_060012_222836/bundles/11_milk_consumption_example_table_rep1/02_summaries/bert.txt,0.010474,0.132170,0.335964,0.090395,0.162345,40.407176
milk_consumption,t5,mistral-medium-latest,No,Yes,No,table,1,results/mistral_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260310_060012_222836/bundles/11_milk_consumption_example_table_rep1/02_summaries/t5.txt,0.004364,0.113120,0.276543,0.079208,0.153086,46.907033
milk_consumption,longformer_ext,mistral-medium-latest,No,Yes,No,table,1,results/mistral_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260310_060012_222836/bundles/11_milk_consumption_example_table_rep1/02_summaries/longformer_ext.txt,0.030828,0.151745,0.376052,0.088097,0.155285,45.096623
milk_consumption,none,mistral-medium-latest,No,Yes,No,plot+table,1,results/mistral_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260310_060012_222836/bundles/12_milk_consumption_example_plot_plus_table_rep1/02_summaries/none.txt,0.031448,0.277877,0.314337,0.141657,0.166767,43.010542
milk_consumption,bart,mistral-medium-latest,No,Yes,No,plot+table,1,results/mistral_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260310_060012_222836/bundles/12_milk_consumption_example_plot_plus_table_rep1/02_summaries/bart.txt,0.036347,0.149436,0.369128,0.109865,0.194631,47.982650
milk_consumption,bert,mistral-medium-latest,No,Yes,No,plot+table,1,results/mistral_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260310_060012_222836/bundles/12_milk_consumption_example_plot_plus_table_rep1/02_summaries/bert.txt,0.008441,0.136785,0.343612,0.088300,0.158590,39.645000
milk_consumption,t5,mistral-medium-latest,No,Yes,No,plot+table,1,results/mistral_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260310_060012_222836/bundles/12_milk_consumption_example_plot_plus_table_rep1/02_summaries/t5.txt,0.006904,0.122750,0.292216,0.067227,0.150898,49.633333
milk_consumption,longformer_ext,mistral-medium-latest,No,Yes,No,plot+table,1,results/mistral_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260310_060012_222836/bundles/12_milk_consumption_example_plot_plus_table_rep1/02_summaries/longformer_ext.txt,0.028228,0.165790,0.364991,0.093284,0.163873,36.514263
milk_consumption,none,mistral-medium-latest,Yes,Yes,No,plot,1,results/mistral_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260310_060012_222836/bundles/13_milk_consumption_role+example_plot_rep1/02_summaries/none.txt,0.031024,0.263825,0.305193,0.133527,0.158399,46.290195
milk_consumption,bart,mistral-medium-latest,Yes,Yes,No,plot,1,results/mistral_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260310_060012_222836/bundles/13_milk_consumption_role+example_plot_rep1/02_summaries/bart.txt,0.008028,0.138285,0.356195,0.079823,0.172566,45.970076
milk_consumption,bert,mistral-medium-latest,Yes,Yes,No,plot,1,results/mistral_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260310_060012_222836/bundles/13_milk_consumption_role+example_plot_rep1/02_summaries/bert.txt,0.018815,0.151526,0.397884,0.106045,0.190476,46.663000
milk_consumption,t5,mistral-medium-latest,Yes,Yes,No,plot,1,results/mistral_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260310_060012_222836/bundles/13_milk_consumption_role+example_plot_rep1/02_summaries/t5.txt,0.010031,0.138694,0.344037,0.082759,0.169725,39.996382
milk_consumption,longformer_ext,mistral-medium-latest,Yes,Yes,No,plot,1,results/mistral_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260310_060012_222836/bundles/13_milk_consumption_role+example_plot_rep1/02_summaries/longformer_ext.txt,0.056073,0.205213,0.452936,0.126984,0.188257,41.382275
milk_consumption,none,mistral-medium-latest,Yes,Yes,No,table,1,results/mistral_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260310_060012_222836/bundles/14_milk_consumption_role+example_table_rep1/02_summaries/none.txt,0.017987,0.238633,0.264787,0.100227,0.137428,43.681038
milk_consumption,bart,mistral-medium-latest,Yes,Yes,No,table,1,results/mistral_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260310_060012_222836/bundles/14_milk_consumption_role+example_table_rep1/02_summaries/bart.txt,0.012817,0.144135,0.341667,0.083507,0.160417,41.583140
milk_consumption,bert,mistral-medium-latest,Yes,Yes,No,table,1,results/mistral_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260310_060012_222836/bundles/14_milk_consumption_role+example_table_rep1/02_summaries/bert.txt,0.015363,0.158898,0.406639,0.116424,0.178423,40.600736
milk_consumption,t5,mistral-medium-latest,Yes,Yes,No,table,1,results/mistral_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260310_060012_222836/bundles/14_milk_consumption_role+example_table_rep1/02_summaries/t5.txt,0.010958,0.125981,0.306818,0.091116,0.156818,33.730500
milk_consumption,longformer_ext,mistral-medium-latest,Yes,Yes,No,table,1,results/mistral_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260310_060012_222836/bundles/14_milk_consumption_role+example_table_rep1/02_summaries/longformer_ext.txt,0.031647,0.078596,0.234097,0.066327,0.122137,30.612000
milk_consumption,none,mistral-medium-latest,Yes,Yes,No,plot+table,1,results/mistral_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260310_060012_222836/bundles/15_milk_consumption_role+example_plot_plus_table_rep1/02_summaries/none.txt,0.025913,0.253780,0.258435,0.116351,0.136875,42.490482
milk_consumption,bart,mistral-medium-latest,Yes,Yes,No,plot+table,1,results/mistral_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260310_060012_222836/bundles/15_milk_consumption_role+example_plot_plus_table_rep1/02_summaries/bart.txt,0.014667,0.155728,0.370847,0.083781,0.165059,35.464579
milk_consumption,bert,mistral-medium-latest,Yes,Yes,No,plot+table,1,results/mistral_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260310_060012_222836/bundles/15_milk_consumption_role+example_plot_plus_table_rep1/02_summaries/bert.txt,0.025594,0.174369,0.416244,0.122075,0.180711,34.393769
milk_consumption,t5,mistral-medium-latest,Yes,Yes,No,plot+table,1,results/mistral_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260310_060012_222836/bundles/15_milk_consumption_role+example_plot_plus_table_rep1/02_summaries/t5.txt,0.020888,0.146172,0.355653,0.085809,0.182217,40.657059
milk_consumption,longformer_ext,mistral-medium-latest,Yes,Yes,No,plot+table,1,results/mistral_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260310_060012_222836/bundles/15_milk_consumption_role+example_plot_plus_table_rep1/02_summaries/longformer_ext.txt,0.052706,0.197590,0.448189,0.126582,0.192081,48.083791
milk_consumption,none,mistral-medium-latest,Yes,No,Yes,plot,1,results/mistral_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260310_060012_222836/bundles/16_milk_consumption_role+insights_plot_rep1/02_summaries/none.txt,0.026194,0.247768,0.251297,0.118868,0.134371,42.219362
milk_consumption,bart,mistral-medium-latest,Yes,No,Yes,plot,1,results/mistral_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260310_060012_222836/bundles/16_milk_consumption_role+insights_plot_rep1/02_summaries/bart.txt,0.042268,0.147755,0.324211,0.097046,0.155789,37.652605
milk_consumption,bert,mistral-medium-latest,Yes,No,Yes,plot,1,results/mistral_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260310_060012_222836/bundles/16_milk_consumption_role+insights_plot_rep1/02_summaries/bert.txt,0.034082,0.173498,0.425781,0.129159,0.199219,42.060890
milk_consumption,t5,mistral-medium-latest,Yes,No,Yes,plot,1,results/mistral_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260310_060012_222836/bundles/16_milk_consumption_role+insights_plot_rep1/02_summaries/t5.txt,0.021337,0.148676,0.345133,0.099778,0.174779,41.186429
milk_consumption,longformer_ext,mistral-medium-latest,Yes,No,Yes,plot,1,results/mistral_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260310_060012_222836/bundles/16_milk_consumption_role+insights_plot_rep1/02_summaries/longformer_ext.txt,0.057378,0.181660,0.433843,0.113616,0.187219,39.488608
milk_consumption,none,mistral-medium-latest,Yes,No,Yes,table,1,results/mistral_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260310_060012_222836/bundles/17_milk_consumption_role+insights_table_rep1/02_summaries/none.txt,0.017490,0.229481,0.232352,0.083241,0.120381,41.800958
milk_consumption,bart,mistral-medium-latest,Yes,No,Yes,table,1,results/mistral_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260310_060012_222836/bundles/17_milk_consumption_role+insights_table_rep1/02_summaries/bart.txt,0.009677,0.122757,0.291533,0.060150,0.139335,31.339750
milk_consumption,bert,mistral-medium-latest,Yes,No,Yes,table,1,results/mistral_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260310_060012_222836/bundles/17_milk_consumption_role+insights_table_rep1/02_summaries/bert.txt,0.017754,0.127550,0.318000,0.072144,0.152000,31.212049
milk_consumption,t5,mistral-medium-latest,Yes,No,Yes,table,1,results/mistral_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260310_060012_222836/bundles/17_milk_consumption_role+insights_table_rep1/02_summaries/t5.txt,0.006574,0.118085,0.275250,0.057842,0.139845,43.703369
milk_consumption,longformer_ext,mistral-medium-latest,Yes,No,Yes,table,1,results/mistral_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260310_060012_222836/bundles/17_milk_consumption_role+insights_table_rep1/02_summaries/longformer_ext.txt,0.050427,0.168506,0.368818,0.089001,0.169321,38.708371
milk_consumption,none,mistral-medium-latest,Yes,No,Yes,plot+table,1,results/mistral_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260310_060012_222836/bundles/18_milk_consumption_role+insights_plot_plus_table_rep1/02_summaries/none.txt,0.024665,0.242449,0.243667,0.105991,0.129894,41.595578
milk_consumption,bart,mistral-medium-latest,Yes,No,Yes,plot+table,1,results/mistral_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260310_060012_222836/bundles/18_milk_consumption_role+insights_plot_plus_table_rep1/02_summaries/bart.txt,0.008790,0.128464,0.313853,0.062907,0.151515,31.371120
milk_consumption,bert,mistral-medium-latest,Yes,No,Yes,plot+table,1,results/mistral_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260310_060012_222836/bundles/18_milk_consumption_role+insights_plot_plus_table_rep1/02_summaries/bert.txt,0.034620,0.131394,0.345455,0.111336,0.169697,33.874746
milk_consumption,t5,mistral-medium-latest,Yes,No,Yes,plot+table,1,results/mistral_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260310_060012_222836/bundles/18_milk_consumption_role+insights_plot_plus_table_rep1/02_summaries/t5.txt,0.019449,0.140238,0.330726,0.073908,0.156425,46.526835
milk_consumption,longformer_ext,mistral-medium-latest,Yes,No,Yes,plot+table,1,results/mistral_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260310_060012_222836/bundles/18_milk_consumption_role+insights_plot_plus_table_rep1/02_summaries/longformer_ext.txt,0.050391,0.167940,0.384191,0.106814,0.169118,42.348774
milk_consumption,none,mistral-medium-latest,No,Yes,Yes,plot,1,results/mistral_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260310_060012_222836/bundles/19_milk_consumption_insights+example_plot_rep1/02_summaries/none.txt,0.025006,0.276849,0.270769,0.123140,0.143590,36.975439
milk_consumption,bart,mistral-medium-latest,No,Yes,Yes,plot,1,results/mistral_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260310_060012_222836/bundles/19_milk_consumption_insights+example_plot_rep1/02_summaries/bart.txt,0.035259,0.174696,0.403050,0.109170,0.204793,43.582328
milk_consumption,bert,mistral-medium-latest,No,Yes,Yes,plot,1,results/mistral_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260310_060012_222836/bundles/19_milk_consumption_insights+example_plot_rep1/02_summaries/bert.txt,0.016023,0.168627,0.395397,0.102725,0.171548,37.510053
milk_consumption,t5,mistral-medium-latest,No,Yes,Yes,plot,1,results/mistral_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260310_060012_222836/bundles/19_milk_consumption_insights+example_plot_rep1/02_summaries/t5.txt,0.004512,0.095842,0.252163,0.064436,0.126082,42.139000
milk_consumption,longformer_ext,mistral-medium-latest,No,Yes,Yes,plot,1,results/mistral_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260310_060012_222836/bundles/19_milk_consumption_insights+example_plot_rep1/02_summaries/longformer_ext.txt,0.034626,0.133417,0.324138,0.092166,0.177011,38.392743
