Case study,Summary,LLM,Role,Example,Insight,BLEU,METEOR,ROUGE-1,ROUGE-2,ROUGE-L,Flesch Reading Ease,Coverage (Claude),Faithfulness (GPT)
Grazing,BART,GPT,No,No,Yes,0.0183180623237219,0.214284164232259,0.402054292002935,0.0734753857457751,0.152604548789435,36.39,3,4.0
Grazing,BART,GPT,No,No,No,0.0223309956886694,0.24662515499101,0.423252775963423,0.092871157619359,0.171129980404964,45.35,2,2.0
Grazing,BART,DeepSeek,Yes,Yes,Yes,0.0400843131816759,0.284231651927759,0.449236298292902,0.126012601260126,0.176100628930818,44.95,2,2.0
Grazing,BART,DeepSeek,Yes,Yes,No,0.0333792069218628,0.298362799098386,0.426785714285714,0.125223613595707,0.171428571428571,44.85,3,3.0
Grazing,BART,DeepSeek,Yes,No,Yes,0.031809222514007,0.278974052952539,0.450354609929078,0.142095914742451,0.184397163120567,44.54,3,2.0
Grazing,BART,DeepSeek,Yes,No,No,0.0400896966980909,0.300477292810529,0.495774647887324,0.173095014111007,0.197183098591549,56.25,3,2.0
Grazing,BART,DeepSeek,No,Yes,Yes,0.0272821216027268,0.260902350365663,0.409574468085106,0.1101243339254,0.180851063829787,45.05,2,2.0
Grazing,BART,DeepSeek,No,Yes,No,0.0274773227345002,0.279958506579409,0.40587219343696,0.122837370242215,0.184801381692573,54.02,2,2.0
Grazing,BART,DeepSeek,No,No,Yes,0.0324906185727327,0.284534998210969,0.443037974683544,0.13768115942029,0.184448462929476,54.22,3,2.0
Grazing,BART,DeepSeek,No,No,No,0.0242382055451789,0.288398965972092,0.423214285714286,0.119856887298748,0.196428571428571,53.21,3,2.0
Grazing,BERT,Claude,Yes,Yes,Yes,0.0117444282401587,0.165534949251586,0.366634335596508,0.0602526724975704,0.147429679922405,43.12,3,5.0
Grazing,BERT,Claude,Yes,Yes,No,0.0109326688726782,0.179121216281843,0.374882849109653,0.0619718309859154,0.155576382380506,51.78,4,5.0
Grazing,BERT,Claude,Yes,No,Yes,0.029655024567303,0.180016902218825,0.38655462184874,0.0916744621141253,0.15499533146592,51.48,3,3.0
Grazing,BERT,Claude,Yes,No,No,0.0136469243926994,0.174453610758688,0.380863039399625,0.075187969924812,0.146341463414634,51.68,3,3.0
Grazing,BERT,Claude,No,Yes,Yes,0.013267343431786,0.157495018543155,0.351778656126482,0.0712871287128713,0.148221343873518,43.02,3,3.0
Grazing,BERT,Claude,No,Yes,No,0.0138514247193191,0.166085921078342,0.359269932756964,0.0789220404234841,0.146013448607109,52.09,4,5.0
Grazing,BERT,Claude,No,No,Yes,0.0161281309297035,0.194015319162725,0.39815668202765,0.077562326869806,0.15852534562212,50.77,3,5.0
Grazing,BERT,Claude,No,No,No,0.0124673718380862,0.167313736399604,0.391472868217054,0.0757281553398058,0.160852713178295,51.48,3,2.0
Grazing,BERT,GPT,Yes,Yes,Yes,0.0201594003171061,0.169740492900277,0.38348623853211,0.0790441176470588,0.165137614678899,42.11,3,3.0
Grazing,BERT,GPT,Yes,Yes,No,0.0180363925609416,0.197553626663979,0.415913200723327,0.092391304347826,0.157323688969259,50.77,3,5.0
Grazing,BERT,GPT,Yes,No,Yes,0.0199551475467928,0.186583906758947,0.412334801762115,0.0829655781112091,0.165638766519824,43.63,4,3.0
Grazing,BERT,GPT,Yes,No,No,0.0198834451688112,0.183263754669421,0.413145539906103,0.0884289746001881,0.152112676056338,44.24,3,5.0
Grazing,BERT,GPT,No,Yes,Yes,0.0217083516431629,0.203375254947553,0.405228758169935,0.0879326473339569,0.162464985994398,51.48,4,4.0
Grazing,BERT,GPT,No,Yes,No,0.0139443196698929,0.191747253643511,0.399629972247919,0.0815569972196478,0.149861239592969,51.99,4,3.0
Grazing,BERT,GPT,No,No,Yes,0.0180998491725588,0.181048229917593,0.375350140056022,0.0879326473339569,0.166199813258637,44.03,4,4.0
Grazing,BERT,GPT,No,No,No,0.0120857752307497,0.177654183753236,0.371794871794872,0.0605504587155963,0.157509157509158,42.92,4,3.0
Grazing,BERT,DeepSeek,Yes,Yes,Yes,0.0375034803459026,0.198627799190923,0.428969359331476,0.114525139664804,0.186629526462396,50.67,2,2.0
Grazing,BERT,DeepSeek,Yes,Yes,No,0.0344009099403845,0.215974149340081,0.442622950819672,0.0986301369863013,0.204918032786885,42.51,2,2.0
Grazing,BERT,DeepSeek,Yes,No,Yes,0.0386187248362429,0.237794751370706,0.464373464373464,0.120689655172414,0.199017199017199,51.99,3,3.0
Grazing,BERT,DeepSeek,Yes,No,No,0.03533519039591,0.223612893798586,0.449934980494148,0.122555410691004,0.189856957087126,51.18,3,2.0
Grazing,BERT,DeepSeek,No,Yes,Yes,0.0369366877240821,0.21214778862163,0.422721268163804,0.095364238410596,0.171730515191546,43.32,2,2.0
Grazing,BERT,DeepSeek,No,Yes,No,0.0325957673762163,0.196842894099668,0.437142857142857,0.114613180515759,0.191428571428571,51.78,2,2.0
Grazing,BERT,DeepSeek,No,No,Yes,0.0390123721433472,0.252527892695617,0.448733413751508,0.103990326481258,0.178528347406514,51.28,3,2.0
Grazing,BERT,DeepSeek,No,No,No,0.0386009193524849,0.243237417783829,0.473091364205257,0.122961104140527,0.205256570713392,60.04,3,1.0
Fauna,BART,Claude,Yes,Yes,Yes,0.0210245403681765,0.245278407578241,0.37625,0.0738423028785982,0.1625,42.51,3,3.0
Fauna,BART,Claude,Yes,Yes,No,0.0236653936855983,0.23536083558155,0.377551020408163,0.0881226053639846,0.164540816326531,44.95,4,3.0
Fauna,BART,Claude,Yes,No,Yes,0.0288397540377664,0.225921911064399,0.375078665827565,0.0856962822936358,0.15607300188798,47.59,4,2.0
Fauna,BART,Claude,Yes,No,No,0.030204095562492,0.235522243672639,0.381430363864492,0.0841708542713567,0.159347553324969,54.42,4,4.0
Fauna,BART,Claude,No,Yes,Yes,0.0217902190315516,0.230162607714985,0.393939393939394,0.0783817951959544,0.152777777777778,46.06,4,3.0
Fauna,BART,Claude,No,Yes,No,0.0292455697219287,0.245863274534217,0.376047904191617,0.0959232613908873,0.160479041916168,42.31,5,3.0
Fauna,BART,Claude,No,No,Yes,0.0181081147960948,0.233162650152672,0.401028277634961,0.081081081081081,0.161953727506427,46.88,3,3.0
Fauna,BART,Claude,No,No,No,0.0310629577000839,0.236079429282932,0.394513389941215,0.0889470241988227,0.165904637491835,54.52,4,4.0
Fauna,BART,GPT,Yes,Yes,Yes,0.040107008050119,0.235546885046008,0.378986866791745,0.0964308077645585,0.1588492808005,44.44,4,3.0
Fauna,BART,GPT,Yes,Yes,No,0.0274225667799234,0.244484352483008,0.405438813349815,0.0841584158415841,0.168108776266996,45.35,4,3.0
Fauna,BART,GPT,Yes,No,Yes,0.0283374351644699,0.235813750405055,0.380174927113703,0.0828955049620548,0.150437317784257,47.69,4,2.0
Fauna,BART,GPT,Yes,No,No,0.0219059919146853,0.248697518576546,0.386190754827384,0.100761570005858,0.163838502047981,45.96,4,4.0
Fauna,BART,GPT,No,Yes,Yes,0.0310654436581417,0.238555613660098,0.37875,0.0926157697121401,0.16,35.68,4,3.0
Fauna,BART,GPT,No,Yes,No,0.0282467577540569,0.24289289452504,0.376569037656904,0.0766008378216636,0.166168559473999,44.24,5,4.0
Fauna,BART,GPT,No,No,Yes,0.0242051708354379,0.244754502241324,0.4,0.0900791235544735,0.164133738601824,37.0,3,5.0
Fauna,BART,GPT,No,No,No,0.0294043260827506,0.235571052352328,0.38552713661884,0.0874453466583385,0.157205240174673,45.15,4,4.0
Fauna,BART,DeepSeek,Yes,Yes,Yes,0.0124511820110911,0.251408343997316,0.304584304584305,0.0513618677042801,0.142968142968143,42.92,2,2.0
Fauna,BART,DeepSeek,Yes,Yes,No,0.0175111568231339,0.262718288961675,0.315142198308993,0.0677444187836797,0.146041506533436,42.0,2,2.0
Fauna,BART,DeepSeek,Yes,No,Yes,0.0121611355024641,0.246642561983471,0.305555555555556,0.0602782071097372,0.145061728395062,44.54,3,2.0
Fauna,BART,DeepSeek,Yes,No,No,0.010696957500145,0.262942851039347,0.316445830085737,0.0608899297423887,0.13717848791894,44.44,3,2.0
Fauna,BART,DeepSeek,No,Yes,Yes,0.0146844012474452,0.255752575226386,0.282069454287739,0.0610361958836054,0.133238837703756,41.19,2,3.0
Fauna,BART,DeepSeek,No,Yes,No,0.021572659897884,0.27433563681938,0.325038880248834,0.073208722741433,0.149300155520995,43.32,2,2.0
Fauna,BART,DeepSeek,No,No,Yes,0.008411418091901,0.270158926897156,0.309246309246309,0.0560311284046692,0.13986013986014,45.46,3,2.0
Fauna,BART,DeepSeek,No,No,No,0.0129940539188241,0.258110578831789,0.306362922230951,0.059795436664044,0.147682639434407,45.25,3,4.0
Fauna,BERT,Claude,Yes,Yes,Yes,0.0211672835566163,0.185414069881407,0.383275261324042,0.0820244328097731,0.163763066202091,41.4,4,3.0
Fauna,BERT,Claude,Yes,Yes,No,0.0224338910428761,0.206837255059428,0.399664147774979,0.0908326324642556,0.167926112510495,50.67,4,4.0
Fauna,BERT,Claude,Yes,No,Yes,0.0392652659456166,0.181338872024285,0.383606557377049,0.0935960591133005,0.165573770491803,51.07,4,5.0
Fauna,BERT,Claude,Yes,No,No,0.0387848776518335,0.19252247628246,0.391769547325103,0.0873866446826051,0.17119341563786,50.46,4,3.0
Fauna,BERT,Claude,No,Yes,Yes,0.0245791872863268,0.201183374169951,0.392446633825944,0.0871710526315789,0.165845648604269,50.36,5,4.0
Fauna,BERT,Claude,No,Yes,No,0.0390651569889547,0.203324053623752,0.404643449419569,0.0980066445182724,0.162520729684909,50.87,5,5.0
Fauna,BERT,Claude,No,No,Yes,0.044379430377109,0.193315493361302,0.391681109185442,0.0954861111111111,0.157712305025997,50.46,4,3.0
Fauna,BERT,Claude,No,No,No,0.0204296502605125,0.178468787651885,0.373913043478261,0.0818815331010452,0.156521739130435,50.67,5,3.0
Fauna,BERT,GPT,Yes,Yes,Yes,0.0304931570546392,0.18970691752092,0.38135593220339,0.0797962648556876,0.157627118644068,42.61,4,5.0
Fauna,BERT,GPT,Yes,Yes,No,0.0239137992489106,0.202844785118666,0.42,0.0901502504173622,0.165,41.8,4,3.0
Fauna,BERT,GPT,Yes,No,Yes,0.0294615632139586,0.190062808352663,0.383539094650206,0.0791426215993404,0.161316872427984,34.36,3,5.0
Fauna,BERT,GPT,Yes,No,No,0.0279831484230682,0.182364886373622,0.394122731201383,0.0831168831168831,0.150388936905791,51.18,4,3.0
Fauna,BERT,GPT,No,Yes,Yes,0.0298243611966645,0.192696730370048,0.390369733447979,0.082687338501292,0.154772141014617,34.86,5,5.0
Fauna,BERT,GPT,No,Yes,No,0.0399202831898124,0.205685284522365,0.403940886699507,0.0904605263157894,0.157635467980296,43.43,4,3.0
Fauna,BERT,GPT,No,No,Yes,0.0229118418537988,0.201705113818273,0.398671096345515,0.101497504159734,0.169435215946844,43.22,4,4.0
Fauna,BERT,GPT,No,No,No,0.0170408341222107,0.190527323497059,0.387596899224806,0.088006902502157,0.155038759689922,42.51,5,5.0
Fauna,BERT,DeepSeek,Yes,Yes,Yes,0.0219678768269521,0.230038883971017,0.383458646616541,0.0552763819095477,0.165413533834586,50.16,2,2.0
Fauna,BERT,DeepSeek,Yes,Yes,No,0.0265288841590552,0.247316309801574,0.39727582292849,0.0819112627986348,0.170261066969353,49.35,2,2.0
Fauna,BERT,DeepSeek,Yes,No,Yes,0.0191118476243301,0.247702130766459,0.375545851528384,0.0656455142231947,0.170305676855895,42.0,3,2.0
Fauna,BERT,DeepSeek,Yes,No,No,0.0097507043669136,0.234483894637839,0.342465753424658,0.0549199084668192,0.15296803652968,42.82,3,4.0
Fauna,BERT,DeepSeek,No,Yes,Yes,0.0251771123519879,0.233340398880856,0.341189674523008,0.0719910011248594,0.159371492704826,50.67,2,2.0
Fauna,BERT,DeepSeek,No,Yes,No,0.0263510095153595,0.240513077567325,0.382222222222222,0.0712694877505568,0.157777777777778,51.18,2,1.0
Fauna,BERT,DeepSeek,No,No,Yes,0.0139428666836139,0.238477212935337,0.374449339207048,0.0640176600441501,0.167400881057269,41.6,3,2.0
Fauna,BERT,DeepSeek,No,No,No,0.0142624186404946,0.244337463167901,0.370285714285714,0.0618556701030927,0.155428571428571,50.46,2,3.0
